image,label,food_plate_ratio,aspect_ratio,avg_r,avg_g,avg_b,carb,crop_path
341LettuceOnions.jpg,onions,821.78955954323,0.8884462151394422,160.37442209239774,127.30637886917701,140.7034279424405,1.5,/home/aojwang/data/MergeDataset/cropped_images/341LettuceOnions/onions_0.jpg
341LettuceOnions.jpg,lettuce,1253.7047308319738,1.183002481389578,186.6538757561602,190.24736994825125,143.13044048243313,1.2,/home/aojwang/data/MergeDataset/cropped_images/341LettuceOnions/lettuce_1.jpg
1651WholeFishKachumbarithirdCupBrownUgalihalfCup.JPG,brown ugali,2011.132743362832,1.0455341506129596,143.3991858005732,118.33671861936654,57.12999102341832,1.9,/home/aojwang/data/MergeDataset/cropped_images/1651WholeFishKachumbarithirdCupBrownUgalihalfCup/brown ugali_0.jpg
1651WholeFishKachumbarithirdCupBrownUgalihalfCup.JPG,kachumbari,2927.336283185841,1.2151799687010956,143.09660992354642,113.40626048629187,46.75766173200036,0.92,/home/aojwang/data/MergeDataset/cropped_images/1651WholeFishKachumbarithirdCupBrownUgalihalfCup/kachumbari_1.jpg
1651WholeFishKachumbarithirdCupBrownUgalihalfCup.JPG,fish fry,8016.1769911504425,2.665266106442577,135.28873123080027,122.29557561332467,70.90282831472052,126.43,/home/aojwang/data/MergeDataset/cropped_images/1651WholeFishKachumbarithirdCupBrownUgalihalfCup/fish fry_2.jpg
1561UgaliBrown2Cups.JPG,brown ugali,1011.0557354301573,1.6761609907120743,132.4514677575967,106.9160140948647,45.06725482952694,5.8,/home/aojwang/data/MergeDataset/cropped_images/1561UgaliBrown2Cups/brown ugali_0.jpg
1001Spinachhalfcup.jpg,spinach cooked,1046.141826923077,1.071578947368421,103.3170394880456,110.30181366973426,77.72564528544676,2.29,/home/aojwang/data/MergeDataset/cropped_images/1001Spinachhalfcup/spinach cooked_0.jpg
151PineappleAppleBanana(2).jpg,ripe banana,2366.5116279069766,1.2679245283018867,189.15007229896676,165.71804455862534,126.37822467430368,2.1,/home/aojwang/data/MergeDataset/cropped_images/151PineappleAppleBanana(2)/ripe banana_0.jpg
151PineappleAppleBanana(2).jpg,apple,3443.7076411960134,1.7707948243992606,173.94236297894182,142.19781613342647,103.29937504582483,0.45,/home/aojwang/data/MergeDataset/cropped_images/151PineappleAppleBanana(2)/apple_1.jpg
3Meatballs.jpg,meatballs,2198.9154228855723,1.3275563258232235,180.45201388291832,99.790369856691,72.50467892357608,72.0,/home/aojwang/data/MergeDataset/cropped_images/3Meatballs/meatballs_0.jpg
1112ScrambledEggsthirdcup.jpg,scrambled eggs,576.8349249658936,1.145679012345679,175.5444793292654,151.04813100137173,69.94460290430916,8.2,/home/aojwang/data/MergeDataset/cropped_images/1112ScrambledEggsthirdcup/scrambled eggs_0.jpg
1736GitheriChips.JPG,githeri,2481.4088729016785,1.3139442231075698,182.59138533796892,143.4672188142518,45.3443989958903,10.05,/home/aojwang/data/MergeDataset/cropped_images/1736GitheriChips/githeri_0.jpg
781BrownRiceMonkeynuts.jpg,brown rice boiled,1092.8877361985922,1.5179340028694404,200.98725872155308,157.59223467846266,110.32539231055048,24.0,/home/aojwang/data/MergeDataset/cropped_images/781BrownRiceMonkeynuts/brown rice boiled_0.jpg
781BrownRiceMonkeynuts.jpg,monkeynut beans,1176.3290107447203,2.0384615384615383,136.9474089360587,79.32795050697469,59.36011423308741,15.6,/home/aojwang/data/MergeDataset/cropped_images/781BrownRiceMonkeynuts/monkeynut beans_1.jpg
