image,label,area,aspect_ratio,avg_intensity,carb,crop_path
341LettuceOnions.jpg,onions,2015028,0.8884462151394422,142.79474296800507,1.5,/home/aojwang/data/MergeDataset/cropped_images/341LettuceOnions/onions_0.jpg
341LettuceOnions.jpg,lettuce,3074084,1.183002481389578,173.34389539561488,1.2,/home/aojwang/data/MergeDataset/cropped_images/341LettuceOnions/lettuce_1.jpg
1651WholeFishKachumbarithirdCupBrownUgalihalfCup.JPG,brown ugali,1363548,1.0455341506129596,106.28863181445269,1.9,/home/aojwang/data/MergeDataset/cropped_images/1651WholeFishKachumbarithirdCupBrownUgalihalfCup/brown ugali_0.jpg
1651WholeFishKachumbarithirdCupBrownUgalihalfCup.JPG,kachumbari,1984734,1.2151799687010956,101.08684404727956,0.92,/home/aojwang/data/MergeDataset/cropped_images/1651WholeFishKachumbarithirdCupBrownUgalihalfCup/kachumbari_1.jpg
1651WholeFishKachumbarithirdCupBrownUgalihalfCup.JPG,fish fry,5434968,2.665266106442577,109.49571171961516,126.43,/home/aojwang/data/MergeDataset/cropped_images/1651WholeFishKachumbarithirdCupBrownUgalihalfCup/fish fry_2.jpg
1561UgaliBrown2Cups.JPG,brown ugali,4371805,1.6761609907120743,94.81157889399611,5.8,/home/aojwang/data/MergeDataset/cropped_images/1561UgaliBrown2Cups/brown ugali_0.jpg
1001Spinachhalfcup.jpg,spinach cooked,2175975,1.071578947368421,97.11483281440887,2.29,/home/aojwang/data/MergeDataset/cropped_images/1001Spinachhalfcup/spinach cooked_0.jpg
151PineappleAppleBanana(2).jpg,ripe banana,1424640,1.2679245283018867,160.4154471772986,2.1,/home/aojwang/data/MergeDataset/cropped_images/151PineappleAppleBanana(2)/ripe banana_0.jpg
151PineappleAppleBanana(2).jpg,apple,2073112,1.7707948243992606,139.8131847193977,0.45,/home/aojwang/data/MergeDataset/cropped_images/151PineappleAppleBanana(2)/apple_1.jpg
3Meatballs.jpg,meatballs,1767928,1.3275563258232235,117.58235422106179,72.0,/home/aojwang/data/MergeDataset/cropped_images/3Meatballs/meatballs_0.jpg
1112ScrambledEggsthirdcup.jpg,scrambled eggs,1691280,1.145679012345679,132.17907107831545,8.2,/home/aojwang/data/MergeDataset/cropped_images/1112ScrambledEggsthirdcup/scrambled eggs_0.jpg
1736GitheriChips.JPG,githeri,2069495,1.3139442231075698,123.80100104937034,10.05,/home/aojwang/data/MergeDataset/cropped_images/1736GitheriChips/githeri_0.jpg
781BrownRiceMonkeynuts.jpg,brown rice boiled,2949704,1.5179340028694404,156.30162857018874,24.0,/home/aojwang/data/MergeDataset/cropped_images/781BrownRiceMonkeynuts/brown rice boiled_0.jpg
781BrownRiceMonkeynuts.jpg,monkeynut beans,3174912,2.0384615384615383,91.8784912253736,15.6,/home/aojwang/data/MergeDataset/cropped_images/781BrownRiceMonkeynuts/monkeynut beans_1.jpg
2RiceWBeanTerere.jpg,terere,697200,1.4228571428571428,95.43131956397016,1.0,/home/aojwang/data/MergeDataset/cropped_images/2RiceWBeanTerere/terere_0.jpg
2RiceWBeanTerere.jpg,white rice boiled,1275183,1.901098901098901,188.46414017961865,85.0,/home/aojwang/data/MergeDataset/cropped_images/2RiceWBeanTerere/white rice boiled_1.jpg
2RiceWBeanTerere.jpg,rosecoco,726546,1.0346062052505967,127.22747722328204,38.0,/home/aojwang/data/MergeDataset/cropped_images/2RiceWBeanTerere/rosecoco_2.jpg
675BrownChapati.jpg,brown chapati,8812974,1.3016910069177556,152.26143732335228,26.28,/home/aojwang/data/MergeDataset/cropped_images/675BrownChapati/brown chapati_0.jpg
1104ScrambledEggs.jpg,scrambled eggs,3209722,1.4833446634942216,158.25031804415875,10.9,/home/aojwang/data/MergeDataset/cropped_images/1104ScrambledEggs/scrambled eggs_0.jpg
2StrawberryPearOrange.jpg,strawberry pear orange,1984532,1.4596912521440824,171.82031363901748,28.0,/home/aojwang/data/MergeDataset/cropped_images/2StrawberryPearOrange/strawberry pear orange_0.jpg
1688BeefSausageChips.JPG,potato chips,3661015,1.2803075103489059,154.3921650143471,12.0,/home/aojwang/data/MergeDataset/cropped_images/1688BeefSausageChips/potato chips_0.jpg
556Pigeonpea.jpg,mbaazi,6814920,1.4950819672131148,133.1309228868424,28.5,/home/aojwang/data/MergeDataset/cropped_images/556Pigeonpea/mbaazi_0.jpg
1RiceLentil.jpg,kamande,1489464,1.0206953642384107,115.07876882780204,40.0,/home/aojwang/data/MergeDataset/cropped_images/1RiceLentil/kamande_0.jpg
1RiceLentil.jpg,white rice boiled,620000,1.032258064516129,190.91936774193547,14.0,/home/aojwang/data/MergeDataset/cropped_images/1RiceLentil/white rice boiled_1.jpg
949BananaCooked.jpg,boiled banana,4444378,1.167606355715018,129.93715536047264,5.88,/home/aojwang/data/MergeDataset/cropped_images/949BananaCooked/boiled banana_0.jpg
1343ChickenWetfryWhiteChapatiSpinach.JPG,spinach cooked,1907985,1.2673186634066829,63.78664402497923,2.91,/home/aojwang/data/MergeDataset/cropped_images/1343ChickenWetfryWhiteChapatiSpinach/spinach cooked_0.jpg
1343ChickenWetfryWhiteChapatiSpinach.JPG,chicken wing,2114080,0.9917808219178083,87.6489614079568,57.29,/home/aojwang/data/MergeDataset/cropped_images/1343ChickenWetfryWhiteChapatiSpinach/chicken wing_1.jpg
2RiceSoyaBeans.jpg,soya beans,818030,1.0212290502793295,171.43316708026194,10.0,/home/aojwang/data/MergeDataset/cropped_images/2RiceSoyaBeans/soya beans_0.jpg
2RiceSoyaBeans.jpg,white rice boiled,598600,0.8902439024390244,196.48203530459963,85.0,/home/aojwang/data/MergeDataset/cropped_images/2RiceSoyaBeans/white rice boiled_1.jpg
3Lemon.jpg,lemon,1048575,1.7458064516129033,161.8947368253741,12.0,/home/aojwang/data/MergeDataset/cropped_images/3Lemon/lemon_0.jpg
1067Beefstew.jpg,beef stew,1647948,1.2547993019197208,138.17436634327458,44.25,/home/aojwang/data/MergeDataset/cropped_images/1067Beefstew/beef stew_0.jpg
3Liver.jpg,liver fry,2728835,1.3863150392017107,145.42797762903706,3.0,/home/aojwang/data/MergeDataset/cropped_images/3Liver/liver fry_0.jpg
3RiceLentil.jpg,white rice boiled,1801116,2.1372549019607843,199.43832064860527,170.0,/home/aojwang/data/MergeDataset/cropped_images/3RiceLentil/white rice boiled_0.jpg
3RiceLentil.jpg,kamande,1084986,2.1462728551336148,117.42009820095988,30.0,/home/aojwang/data/MergeDataset/cropped_images/3RiceLentil/kamande_1.jpg
1702BeefSausageChipsKachumbarihalfCup.JPG,kachumbari,1299429,1.3839009287925697,109.54660803578598,1.43,/home/aojwang/data/MergeDataset/cropped_images/1702BeefSausageChipsKachumbarihalfCup/kachumbari_0.jpg
1702BeefSausageChipsKachumbarihalfCup.JPG,potato chips,1977570,1.1453576864535768,157.61579480540934,7.2,/home/aojwang/data/MergeDataset/cropped_images/1702BeefSausageChipsKachumbarihalfCup/potato chips_1.jpg
1702BeefSausageChipsKachumbarihalfCup.JPG,sausage,1399032,1.0708661417322836,105.9940597022322,6.6,/home/aojwang/data/MergeDataset/cropped_images/1702BeefSausageChipsKachumbarihalfCup/sausage_2.jpg
1280BeefstewBrownRiceSpinach.JPG,brown rice boiled,2282998,0.8720642768850433,150.32071571386982,12.0,/home/aojwang/data/MergeDataset/cropped_images/1280BeefstewBrownRiceSpinach/brown rice boiled_0.jpg
1280BeefstewBrownRiceSpinach.JPG,spinach cooked,1514304,1.3579545454545454,73.00322788555006,2.91,/home/aojwang/data/MergeDataset/cropped_images/1280BeefstewBrownRiceSpinach/spinach cooked_1.jpg
1154MincedMeatKalesPasta(2).JPG,sukumawiki,1254062,0.8509060955518946,81.83820045048277,2.0,/home/aojwang/data/MergeDataset/cropped_images/1154MincedMeatKalesPasta(2)/sukumawiki_0.jpg
1154MincedMeatKalesPasta(2).JPG,pasta,2837607,1.2628418945963975,143.04095023259623,4.4,/home/aojwang/data/MergeDataset/cropped_images/1154MincedMeatKalesPasta(2)/pasta_1.jpg
1154MincedMeatKalesPasta(2).JPG,mincemeat,1734012,1.7945066124109867,112.54154623305183,27.7,/home/aojwang/data/MergeDataset/cropped_images/1154MincedMeatKalesPasta(2)/mincemeat_2.jpg
1273MincedMeatGreenGramsCabbage.JPG,ndengu,3023847,1.165114835505897,116.32006326157816,12.0,/home/aojwang/data/MergeDataset/cropped_images/1273MincedMeatGreenGramsCabbage/ndengu_0.jpg
1273MincedMeatGreenGramsCabbage.JPG,green cabbage cooked,2287810,0.8826086956521739,168.263640774365,2.4,/home/aojwang/data/MergeDataset/cropped_images/1273MincedMeatGreenGramsCabbage/green cabbage cooked_1.jpg
1273MincedMeatGreenGramsCabbage.JPG,mincemeat,1666863,1.6116027531956736,128.03154548394198,55.4,/home/aojwang/data/MergeDataset/cropped_images/1273MincedMeatGreenGramsCabbage/mincemeat_2.jpg
694WhiteRicePigeonpea.jpg,white rice boiled,2175129,1.6649168853893264,173.73256022976108,2.4,/home/aojwang/data/MergeDataset/cropped_images/694WhiteRicePigeonpea/white rice boiled_0.jpg
694WhiteRicePigeonpea.jpg,mbaazi,2568003,1.8727583262169085,111.20812164160245,5.7,/home/aojwang/data/MergeDataset/cropped_images/694WhiteRicePigeonpea/mbaazi_1.jpg
3RiceNdengu.jpg,ndengu,684410,1.1573472041612485,142.55868363505306,9.0,/home/aojwang/data/MergeDataset/cropped_images/3RiceNdengu/ndengu_0.jpg
3RiceNdengu.jpg,white rice boiled,1988646,1.8421559191530317,194.75916394035607,183.0,/home/aojwang/data/MergeDataset/cropped_images/3RiceNdengu/white rice boiled_1.jpg
1Cabbagesprout.jpg,cabbage sprout,1033175,1.1818181818181819,164.57339882723966,9.0,/home/aojwang/data/MergeDataset/cropped_images/1Cabbagesprout/cabbage sprout_0.jpg
939Frenchfries.jpg,potato chips,6991512,1.3958891867739052,125.74106230526387,26.85,/home/aojwang/data/MergeDataset/cropped_images/939Frenchfries/potato chips_0.jpg
1Ghee.jpg,ghee,913900,1.8492176386913228,127.9313856366488,0.0,/home/aojwang/data/MergeDataset/cropped_images/1Ghee/ghee_0.jpg
3Pear.jpg,pear,1371988,1.6640969162995596,145.61930182091,30.0,/home/aojwang/data/MergeDataset/cropped_images/3Pear/pear_0.jpg
1585BrownUgaliDrumstickCabbage.JPG,brown ugali,1360420,1.1577490774907748,118.21415004189882,1.43,/home/aojwang/data/MergeDataset/cropped_images/1585BrownUgaliDrumstickCabbage/brown ugali_0.jpg
1585BrownUgaliDrumstickCabbage.JPG,green cabbage cooked,4025568,1.2099780701754386,167.83661146286272,2.4,/home/aojwang/data/MergeDataset/cropped_images/1585BrownUgaliDrumstickCabbage/green cabbage cooked_1.jpg
1585BrownUgaliDrumstickCabbage.JPG,chicken drumstick,5536659,1.5516146109052409,125.92551416537181,72.18,/home/aojwang/data/MergeDataset/cropped_images/1585BrownUgaliDrumstickCabbage/chicken drumstick_2.jpg
